  CO, NUMBER, DATE
  PL, 48732232620, 2018-11-09
  PL, 48732232623, 2019-01-08
  PL, 48732232632, 2019-01-24
  PL, 48732232634, 2019-01-17
  PL, 48732232635, 2019-01-17
  PL, 48732232639, 2019-01-08
  PL, 48732232646, 2019-01-08
  PL, 48732232672, 2020-09-28
  PL, 48732232685, 2018-12-05
  PL, 48732232695, 2018-11-22
  PL, 48732232697, 2019-01-08
  PL, 48732232698, 2019-01-08
  PL, 48732232700, 2018-11-06
  PL, 48732232701, 2019-01-24
  PL, 48732232708, 2018-11-06
  PL, 48732232711, 2018-11-06
  PL, 48732232716, 2019-01-29
  PL, 48732232721, 2019-04-04
  PL, 48732232750, 2019-02-08
  PL, 48732232754, 2019-02-21
  PL, 48732232757, 2018-11-14
  PL, 48732232763, 2019-02-21
  PL, 48732232768, 2019-01-17
  PL, 48732232778, 2019-01-24
  PL, 48732232791, 2019-09-11
  PL, 48732232858, 2019-10-10
  PL, 48732232862, 2018-10-30
  PL, 48732232944, 2019-08-22
  PL, 48732483536, 2019-01-29
  PL, 48732489006, 2020-11-13
  PL, 48737349842, 2021-09-03
  PL, 48737491522, 2019-03-05
  PL, 48781141841, 2019-01-17
  PL, 48792476077, 2021-08-24
  PL, 48794334038, 2019-05-20
  PL, 48797429548, 2020-01-21
  PL, 48797964630, 2020-11-30
  PL, 48797964633, 2021-09-03
  PL, 48797964634, 2020-08-28
  PL, 48797964638, 2020-03-09
  PL, 48797964679, 2020-08-04
  PL, 48798622264, 2021-08-24
  PL, 48798622274, 2021-08-24
  PL, 48798622381, 2021-08-24
  PL, 48798622481, 2021-08-24
  PL, 48798623302, 2021-08-24
  PL, 48798623318, 2021-08-24
  PL, 48799449131, 2019-01-08
  PL, 48799449231, 2019-01-08
  PL, 48799449529, 2018-08-27
  PL, 48799449595, 2018-08-27
  PL, 48799599616, 2019-01-25
  PL, 48799599647, 2018-08-27
  PL, 48799773211, 2021-08-26
  PL, 48799892904, 2021-09-03
  PL, 48799985412, 2019-01-25
  PL, 48882431801, 2019-04-24
